Agent,Episode,Reward,Collision,Steps
Q-Learning,0,454.425509978548,0,51
Q-Learning,1,438.38871047630073,0,55
Q-Learning,2,421.8361016125511,0,63
Q-Learning,3,428.95756260595914,0,60
Q-Learning,4,467.6595967058044,0,43
Q-Learning,5,456.8530877855868,0,50
Q-Learning,6,396.3274621102893,0,65
Q-Learning,7,443.2818609826015,0,53
Q-Learning,8,445.9106852239692,0,55
Q-Learning,9,435.2613051299956,0,57
DQN,0,-1599.8249498142995,0,344
DQN,1,-1589.6129002307018,0,341
DQN,2,-1578.0338430773118,0,339
DQN,3,-1587.6390127419768,0,340
DQN,4,-1536.9512850676424,0,335
DQN,5,-1456.4442058381237,0,328
DQN,6,-1545.7977639261176,0,337
DQN,7,-1548.2977715528789,0,337
DQN,8,-1440.3490609581083,0,330
DQN,9,-1510.3453850133567,0,334
Random,0,-85.7505,1,9
Random,1,-52.86995643436765,1,16
Random,2,-77.94286758116388,0,13
Random,3,-100.91831011965286,1,31
Random,4,14.044581424258782,0,64
Random,5,110.16864885154091,0,33
Random,6,-103.26916619175923,1,10
Random,7,10.783450108714549,0,22
Random,8,-68.7656662753662,1,30
Random,9,-126.05066848848888,1,51
SUMO Default,0,483.19031374882337,0,55
SUMO Default,1,485.0661989823648,0,51
SUMO Default,2,479.84232365516544,0,53
SUMO Default,3,474.20117043031183,0,43
SUMO Default,4,475.35172241286716,0,48
SUMO Default,5,475.42081011460715,0,50
SUMO Default,6,483.23219419580215,0,57
SUMO Default,7,475.76617824921857,0,44
SUMO Default,8,485.2476320769082,0,44
SUMO Default,9,482.3155161574528,0,54
